n,a,amplitude,lambda_min
107,2.336414417230953,0.9034788282678086,-7.520772876858013
109,2.3456739411145717,0.8986992629431312,-7.6046636768762434
113,2.3636939093561704,0.8894304748010226,-7.770445259431278
121,2.3978952727983707,0.4359809586906129,-8.09672894071536
125,2.4141568686511508,0.28790500622144016,-8.255835962779097
127,2.4220935432292956,0.859704188799702,-8.330896209409893
128,2.4260151319598084,0.12253226793356839,-8.37404703589133
131,2.4375986616005756,0.8518959356607758,-8.485962304450323
137,2.4599904629140625,0.8406846759603316,-8.714774771252255
139,2.4672369665653457,0.8370732327751675,-8.790030446898019
149,2.5019731529727296,0.8198785084787714,-9.159163475791056
151,2.508639918407462,0.8166008851250464,-9.231650852935132
157,2.528122902674154,0.8070646923785828,-9.446575652253422
163,2.546875100403381,0.7979466148820306,-9.657941630531807
167,2.5589969062083777,0.7920845032028089,-9.796943677780925
169,2.5649493574615367,0.394607593455621,-9.868143278419112
173,2.5766457972488896,0.7835950094988348,-10.002595697570959
179,2.5936929029203775,0.775446838185732,-10.205017267934341
181,2.599248515632913,0.7728024825246322,-10.271813543723715
191,2.626136714023315,0.7600823345173429,-10.600919916363047
193,2.631345094452443,0.7576334578568719,-10.66580974709321
197,2.6416018643689942,0.7528253603154123,-10.794711819478138
199,2.646652412362246,0.7504648605254273,-10.858729955743678
211,2.6759290667380333,0.7368742165467923,-11.23681061416083
223,2.7035858857300594,0.7241820072747879,-11.605139735172274
227,2.7124750087407015,0.7201331581734165,-11.72591179281849
229,2.71686100177712,0.7181409139301478,-11.785936249782855
233,2.72551922678285,0.7142188051777699,-11.905284085441721
239,2.7382317759657555,0.7084859575607869,-12.082623337029567
241,2.7423984667453274,0.7066136578341925,-12.141302272133734
243,2.746530721670274,0.14095202235501422,-12.202863589119024
251,2.7627264695658917,0.6975269939520576,-12.431510453280776
256,2.772588722239781,0.08664339756999316,-12.577753165795663
257,2.77453804244761,0.6922837118409257,-12.603147152324633
263,2.7860770160888824,0.6871874740280584,-12.77303983553243
269,2.7973556898009195,0.6822311463982939,-12.941317735574728
271,2.8010594104398505,0.6806089663430008,-12.997071386092669
277,2.8120087530936693,0.6758289244779588,-13.163371263923862
281,2.8191773346668727,0.6727120801174226,-13.273482437579272
283,2.822723448821619,0.6711739693705057,-13.32832702006202
289,2.833213344056216,0.33331921694779015,-13.491651002233287
293,2.840086304508534,0.6636784540357117,-13.60066346701547
307,2.8634238737935984,0.653696929687846,-13.977503790659823
311,2.869896456089617,0.6509475919920862,-14.084392094825832
313,2.8731015952700765,0.6495892150674409,-14.137727613812295
317,2.87945088693864,0.646904296610955,-14.244204221527637
331,2.9010591876885314,0.6378265364003075,-14.615217363877314
337,2.910041465176181,0.63408023826641,-14.773559353382515
343,2.9188652235829697,0.21013854400314233,-14.90235350195984
347,2.9246623899734296,0.6280164132778713,-15.036582595199793
349,2.9275359611012135,0.6268296288014934,-15.08904054730836
353,2.9332340284666483,0.6244811780915263,-15.193785985388798
359,2.9416611942441393,0.6210197591435047,-15.350409348730565
361,2.9444389791664403,0.30994094517541476,-15.366357303883156
367,2.9526809240272853,0.6165147585271876,-15.558066593224796
373,2.960789209821908,0.6132154166673512,-15.712680850410369
379,2.968768102541213,0.6099814970736293,-15.866104393274147
383,2.974017494590323,0.607860780341142,-15.967631071280186
389,2.981789671809223,0.604730950714453,-16.11866046728227
397,2.9919681403435954,0.6006503059505868,-16.317452222776613
401,2.9969807136532847,0.598648299466602,-16.415662406756002
409,3.006857578021401,0.5947181533605773,-16.609593051452094
419,3.0189354599610687,0.5899385935087949,-16.84726958626545
421,3.0213164168411906,0.5889998089494454,-16.894183517586214
431,3.0330540450518737,0.5843882903364338,-17.125817856312562
433,3.035368864001245,0.5834820741278786,-17.171588608205184
439,3.0422497065375858,0.5807946257815964,-17.30788123879684
443,3.046784885022568,0.5790284736477816,-17.39794985866699
449,3.0535114438711273,0.5764164585114053,-17.531980159411578
457,3.0623416954471026,0.5730012097145291,-17.708932757038575
461,3.0666990214983243,0.5713216519336551,-17.79676024447758
463,3.068863527043117,0.5704887328440836,-17.84053064634628
467,3.0731646288344487,0.568836397065783,-17.927809273450052
479,3.0858502987054575,0.5639843959410468,-18.187838052801297
487,3.094132061541295,0.5608340288005226,-18.359906168762148
491,3.09822206389726,0.5592832176517344,-18.445586100728434
499,3.1063030478757594,0.556228889183289,-18.6162264305274
503,3.1102950850498696,0.5547248135805001,-18.70116706168678
509,3.1162240082752612,0.552496802995521,-18.82806169168727
512,3.119162312519754,0.061266133966784195,-18.722703812774366
521,3.1278750208766835,0.54813877072889,-19.07976132600623
523,3.1297907320324616,0.5474247731499208,-19.12141185268864
529,3.1354942159291497,0.27265167095036086,-19.14778510841695
541,3.1467096394232406,0.5411504566929389,-19.491897241640924
547,3.1522244012109906,0.539117531370959,-19.61353000600021
557,3.161282619963642,0.5357913740474692,-19.81412745183927
563,3.1666398140698453,0.5338318256759388,-19.93324519074186
569,3.1719402170631654,0.5318986052567737,-20.051484491669214
571,3.1736946048280053,0.5312599423038833,-20.090712429895497
577,3.17892113325405,0.5293608734977235,-20.207875506609067
587,3.1875124099140484,0.5262508677736629,-20.401571834159036
593,3.192597199498863,0.5244170135825618,-20.516961534538915
599,3.1976307990577246,0.5226066100203186,-20.63181108312707
601,3.199297467267604,0.5220082628951825,-20.669984184838608
