u,x,lnF
2.8243746091,0.4493746091,-51.6529523185
2.8253752345,0.4503752345,-51.5033772239
2.8263758599,0.4513758599,-51.4069061127
2.8273764853,0.4523764853,-51.3527019666
2.8283771107,0.4533771107,-51.3354867448
2.8293777361,0.4543777361,-51.3535122010
2.8303783615,0.4553783615,-51.4079975597
2.8313789869,0.4563789869,-51.5035788701
2.8323796123,0.4573796123,-51.6501335667
2.8333802376,0.4583802376,-51.8677602516
2.8343808630,0.4593808630,-52.2020383300
2.8353814884,0.4603814884,-52.7906953581
2.8363821138,0.4613821138,-54.8291709827
2.8373827392,0.4623827392,-53.0283536567
2.8383833646,0.4633833646,-52.2389509422
2.8393839900,0.4643839900,-51.7999256974
2.8403846154,0.4653846154,-51.4986983268
2.8413852408,0.4663852408,-51.2738542508
2.8423858662,0.4673858662,-51.0989278500
2.8433864916,0.4683864916,-50.9600566865
2.8443871169,0.4693871169,-50.8490697102
2.8453877423,0.4703877423,-50.7607568627
2.8463883677,0.4713883677,-50.6916096914
2.8473889931,0.4723889931,-50.6391741381
2.8483896185,0.4733896185,-50.6016904069
2.8493902439,0.4743902439,-50.5778802281
2.8503908693,0.4753908693,-50.5668154965
2.8513914947,0.4763914947,-50.5678346913
